latitude,longitude
41.76753,-72.67459000000002
41.7644499,-72.73204
41.767450200000006,-72.67727990000002
41.7436646,-72.7296199
41.7247369989672,-72.7311948545324
41.7250274897995,-72.75715832764492
41.75995,-72.70243
41.7568979965334,-72.7145305423279
41.7329145,-72.7322875
41.7573929,-72.724823
41.83215,-72.735016
41.783595,-72.748049
41.6902174,-72.65584140000001
41.7431,-72.63238
41.7636674445296,-72.68898546120391
41.7678487,-72.6990818
41.768735,-72.60491
41.76721861482621,-72.6768995846973
41.75792,-72.70194000000002
41.7346,-72.68138
41.767955,-72.678087
41.7666067,-72.6736626
41.76811,-72.67817
41.7549969,-72.7656979
41.76687,-72.67506999999998
41.685228869319,-72.654834240675
41.75678,-72.71361999999998
41.7212994522003,-72.61507319545791
41.762515,-72.67092199999998
41.7993360757828,-72.6952075213194
41.713913,-72.64361099999998
41.69300000000001,-72.70496999999997
41.76098,-72.67513000000002
41.80938,-72.71065
41.760245,-72.74118
41.7662972085052,-72.70709235422771
41.76067000000001,-72.69773
41.7606661,-72.7065551
41.7677124,-72.6795178
41.7362302183805,-72.67511672708208
41.73445,-72.69641999999997
41.724247,-72.710581
41.762647,-72.671375
41.76021400000001,-72.74023100000002
41.76168300000001,-72.74428499999998
41.7626800556192,-72.6714269815767
41.766767,-72.67678199999997
41.76173,-72.67068990000001
41.76742,-72.67434
41.764693021911,-72.66920199565
41.735319272587795,-72.661596336269
41.76380967608321,-72.66920685768129
41.76671,-72.67533
41.75916,-72.70304
41.756958,-72.713604
41.696756,-72.70545200000002
41.684597,-72.70838499999998
41.762224,-72.675337
41.7337567,-72.70217029999998
41.8217651,-72.5885264
41.768546,-72.6782116
41.76889138310271,-72.6742876096042
41.760954,-72.739664
41.7174,-72.60817
41.76289000000001,-72.6704199
41.7882475022302,-72.6614982472214
41.75758,-72.67873
41.76600000000001,-72.71017990000001
41.7798179815506,-72.6691655635808
41.806489,-72.658618
41.7606677024489,-72.7399352110768
41.74313,-72.67683000000002
41.7371470412879,-72.67142760504929
41.68375,-72.65568
41.75547,-72.71413000000003
41.748475,-72.63825600000001
41.6868079,-72.6562164
41.76205,-72.66897
41.72235300000001,-72.762615
41.70963,-72.60211
