-100, -100, -100, -64, -47, -98
-99, -99, -99, -64, -47, -98
-98, -98, -98, -64, -47, -98
-97, -97, -97, -64, -47, -98
-96, -96, -96, -64, -47, -98
-95, -95, -95, -64, -47, -98
-94, -94, -94, -64, -47, -98
-93, -93, -93, -64, -47, -98
-92, -92, -92, -64, -47, -98
-91, -91, -91, -64, -47, -98
-90, -90, -90, -64, -47, -98
-89, -89, -89, -64, -47, -98
-88, -88, -88, -64, -47, -98
-87, -87, -87, -64, -47, -98
-86, -86, -86, -64, -47, -98
-85, -85, -85, -64, -47, -98
-84, -84, -84, -64, -47, -98
-83, -83, -83, -64, -47, -98
-82, -82, -82, -64, -47, -98
-81, -81, -81, -64, -47, -98
-80, -80, -80, -64, -47, -98
-79, -79, -79, -64, -47, -98
-78, -78, -78, -64, -47, -98
-77, -77, -77, -64, -47, -98
-76, -76, -76, -64, -47, -98
-75, -75, -75, -64, -47, -98
-74, -74, -74, -64, -47, -98
-73, -73, -73, -64, -47, -98
-72, -72, -72, -64, -47, -98
-71, -71, -71, -64, -47, -98
-70, -70, -70, -64, -47, -98
-69, -69, -69, -64, -47, -98
-68, -68, -68, -64, -47, -98
-67, -67, -67, -64, -47, -98
-66, -66, -66, -64, -47, -98
-65, -65, -65, -64, -47, -98
-64, -64, -64, -64, -47, -98
-63, -63, -63, -64, -47, -98
-62, -62, -62, -64, -47, -98
-61, -61, -61, -64, -47, -98
-60, -60, -60, -64, -47, -98
-59, -59, -59, -64, -47, -98
-58, -58, -58, -64, -47, -98
-57, -57, -57, -64, -47, -98
-56, -56, -56, -64, -47, -98
-55, -55, -55, -64, -47, -98
-54, -54, -54, -64, -47, -98
-53, -53, -53, -64, -47, -98
-52, -52, -52, -64, -47, -98
-51, -51, -51, -64, -47, -98
-50, -50, -50, -64, -47, -98
-49, -49, -49, -64, -47, -98
-48, -48, -48, -64, -47, -98
-47, -47, -47, -64, -47, -98
-46, -46, -46, -64, -47, -98
-45, -45, -45, -75, -5, -22
-44, -44, -44, -75, -5, -22
-43, -43, -43, -60, -13, -2
-42, -42, -42, -60, -13, -2
-41, -41, -41, -60, -13, -2
-40, -40, -40, -60, -13, -2
-39, -39, -39, -60, -13, -2
-38, -38, -38, -60, -13, -2
-37, -37, -37, -60, -13, -2
-36, -36, -36, -60, -13, -2
-35, -35, -35, -60, -13, -2
-34, -34, -34, -60, -13, -2
-33, -33, -33, -60, -13, -2
-32, -32, -32, -60, -13, -2
-31, -31, -31, -60, -13, -2
-30, -30, -30, -60, -13, -2
-29, -29, -29, -60, -13, -2
-28, -28, -28, -60, -13, -2
-27, -27, -27, -60, -13, -2
-26, -26, -26, -60, -13, -2
-25, -25, -25, -60, -13, -2
-24, -24, -24, -60, -13, -2
-23, -23, -23, -60, -13, -2
-22, -22, -22, -60, -13, -2
-21, -21, -21, -60, -13, -2
-20, -20, -20, -60, -13, -2
-19, -19, -19, -60, -13, -2
-18, -18, -18, -60, -13, -2
-17, -17, -17, -60, -13, -2
-16, -16, -16, -60, -13, -2
-15, -15, -15, -60, -13, -2
-14, -14, -14, -22, 15, 22
-13, -13, -13, -22, 15, 22
-12, -12, -12, -22, 15, 22
-11, -11, -11, -22, 15, 22
-10, -10, -10, -22, 15, 22
-9, -9, -9, -22, 15, 22
-8, -8, -8, -22, 15, 22
-7, -7, -7, -22, 15, 22
-6, -6, -6, -22, 15, 22
-5, -5, -5, -22, 15, 22
-4, -4, -4, -22, 15, 22
-3, -3, -3, -22, 15, 22
-2, -2, -2, -22, 15, 22
-1, -1, -1, -22, 15, 22
0, 0, 0, -22, 15, 22
1, 1, 1, 0, 0, 68
2, 2, 2, 0, 0, 68
3, 3, 3, 0, 0, 68
4, 4, 4, 0, 0, 68
5, 5, 5, 0, 0, 68
6, 6, 6, 0, 0, 68
7, 7, 7, 0, 0, 68
8, 8, 8, 0, 0, 68
9, 9, 9, 0, 0, 68
10, 10, 10, 0, 0, 68
11, 11, 11, 0, 0, 68
12, 12, 12, 0, 0, 68
13, 13, 13, 0, 0, 68
14, 14, 14, 0, 0, 68
15, 15, 15, 0, 0, 68
16, 16, 16, 0, 0, 68
17, 17, 17, 18, 54, 13
18, 18, 18, 18, 54, 13
19, 19, 19, 18, 54, 13
20, 20, 20, 18, 54, 13
21, 21, 21, 18, 54, 13
22, 22, 22, 18, 54, 13
23, 23, 23, 21, 38, 62
24, 24, 24, 21, 38, 62
25, 25, 25, 21, 38, 62
26, 26, 26, 21, 38, 62
27, 27, 27, 21, 38, 62
28, 28, 28, 21, 38, 62
29, 29, 29, 21, 38, 62
30, 30, 30, 21, 38, 62
31, 31, 31, 21, 38, 62
32, 32, 32, 21, 38, 62
33, 33, 33, 21, 38, 62
34, 34, 34, 21, 38, 62
35, 35, 35, 21, 38, 62
36, 36, 36, 21, 38, 62
37, 37, 37, 21, 38, 62
38, 38, 38, 21, 38, 62
39, 39, 39, 21, 38, 62
40, 40, 40, 21, 38, 62
41, 41, 41, 21, 38, 62
42, 42, 42, 21, 38, 62
43, 43, 43, 21, 38, 62
44, 44, 44, 43, 64, 22
45, 45, 45, 43, 64, 22
46, 46, 46, 43, 64, 22
47, 47, 47, 43, 64, 22
48, 48, 48, 43, 64, 22
49, 49, 49, 43, 64, 22
50, 50, 50, 43, 64, 22
51, 51, 51, 43, 64, 22
52, 52, 52, 43, 64, 22
53, 53, 53, 43, 64, 22
54, 54, 54, 43, 64, 22
55, 55, 55, 63, 87, 70
56, 56, 56, 63, 87, 70
57, 57, 57, 63, 87, 70
58, 58, 58, 63, 87, 70
59, 59, 59, 63, 87, 70
60, 60, 60, 63, 87, 70
61, 61, 61, 63, 87, 70
62, 62, 62, 63, 87, 70
63, 63, 63, 63, 87, 70
64, 64, 64, 63, 87, 70
65, 65, 65, 63, 87, 70
66, 66, 66, 63, 87, 70
67, 67, 67, 63, 87, 70
68, 68, 68, 63, 87, 70
69, 69, 69, 63, 87, 70
70, 70, 70, 63, 87, 70
71, 71, 71, 63, 87, 70
72, 72, 72, 63, 87, 70
73, 73, 73, 63, 87, 70
74, 74, 74, 63, 87, 70
75, 75, 75, 63, 87, 70
76, 76, 76, 63, 87, 70
77, 77, 77, 63, 87, 70
78, 78, 78, 63, 87, 70
79, 79, 79, 63, 87, 70
80, 80, 80, 63, 87, 70
81, 81, 81, 63, 87, 70
82, 82, 82, 93, 71, 84
83, 83, 83, 93, 71, 84
84, 84, 84, 93, 71, 84
85, 85, 85, 93, 71, 84
86, 86, 86, 93, 71, 84
87, 87, 87, 93, 71, 84
88, 88, 88, 63, 87, 70
89, 89, 89, 63, 87, 70
90, 90, 90, 63, 87, 70
91, 91, 91, 63, 87, 70
92, 92, 92, 63, 87, 70
93, 93, 93, 63, 87, 70
94, 94, 94, 63, 87, 70
95, 95, 95, 63, 87, 70
96, 96, 96, 63, 87, 70
97, 97, 97, 63, 87, 70
98, 98, 98, 63, 87, 70
99, 99, 99, 63, 87, 70
